Section Length,Cumulative Length,Radius
9.92,9.92,9.39
9.94,19.86,0
15.32,35.18,13.24
8.08,43.26,0
14.53,57.79,13.3
10.52,68.31,0
12.98,81.29,15.07
11.78,93.07,0
10,103.07,23.56
63.85,166.92,0
18.74,185.66,31.72
26.59,212.25,21.5
18.13,230.38,0
25.64,256.02,22.09
20.28,276.3,0
18.34,294.64,22.23
14.41,309.05,20.43
10.71,319.76,11.57
11.77,331.53,15.09
29.13,360.66,20.63
10.25,370.91,10.21
78.13,449.04,0
10.04,459.08,7.44
16.01,475.09,11.78
16.68,491.77,0
7.21,498.98,9.13
6.61,505.59,4.05
6.68,512.27,0
14.26,526.53,12.32
7.29,533.82,3.92
9.05,542.87,29.42
20.96,563.83,0
32.25,596.08,33.4
22.99,619.07,17.72
17.05,636.12,15.49
12.19,648.31,5.52
95.71,744.02,0
4.28,748.3,6.38
8.89,757.19,7.09
9.5,766.69,7.92
7.5,774.19,8.7
10.67,784.86,36.5
31.55,816.41,0
5.2,821.61,3.71
31.33,852.94,14.33
7.22,860.16,0
4,864.16,6.58
5.99,870.15,20.92
29.12,899.27,0
4.91,904.18,8.51
10,914.18,8.13
9.8,923.98,8.49
9.09,933.07,7.79
5.22,938.29,0
9.72,948.01,8.45
8.69,956.7,0
12.37,969.07,10.03
7.28,976.35,0
12.91,989.26,8.2
3.65,992.91,0
9.96,1002.87,6.86
