Charge_2.8A,Charge_2.8A,Charge_5.6A,Charge_5.6A
time,voltage,time,voltage
0,3.24999965,0,3.394444428
0.013368984,3.327777933,0.018716598,3.472222287
0.028074847,3.388888957,0.040106953,3.544444464
0.044117689,3.433333357,0.06951878,3.594444546
0.061497307,3.472222287,0.098930504,3.65555557
0.081550784,3.505555534,0.136363701,3.6944445
0.108288753,3.538888993,0.168449182,3.7388889
0.140374335,3.57222224,0.209893115,3.77777783
0.173796796,3.605555699,0.248663088,3.850000006
0.201871643,3.627777794,0.294117655,3.927777866
0.232620348,3.65555557,0.339572222,4.011111195
0.259358316,3.677777876,0.386363667,4.099999996
0.288770041,3.688889029,0.419786128,4.150000078
0.32486636,3.711111123,0.463903817,4.194444479
0.358288821,3.727777747,0.50267379,4.194444479
0.387700545,3.744444582,0.536096251,4.199999949
0.414438514,3.77777783,0.566844956,4.211111102
0.446524097,3.794444453,0.605615031,4.211111102
0.477272801,3.816666759,0.640374471,4.216666785
0.50401077,3.833333383,0.684491956,4.222222255
0.538770109,3.86666663,0.889037457,4.222222255
0.574866326,3.90555556,1.5,4.244444455
0.609625665,3.944444489,,
0.651069496,3.966666795,,
0.693850409,4.000000042,,
0.733957362,4.022222348,,
0.772727335,4.061111066,,
0.802139059,4.111111149,,
0.8368985,4.161111231,,
0.866310225,4.199999949,,
0.910427914,4.22777762,,
0.970588343,4.233333408,,
1.016042808,4.233333408,,
1.06684499,4.233333408,,
1.122994683,4.238888985,,
1.5,4.22777762,,
