Speed,Torque,Efficiency
467.117659,19.5736375,0.86
413.0300858,32.26744186,0.86
457.2833093,44.86433517,0.86
565.4580056,55.9108468,0.86
747.3880744,67.44186047,0.86
929.317693,78.10077224,0.86
1204.671384,87.11240014,0.86
1637.369269,95.73642819,0.86
2178.2423,97.09302326,0.86
3033.804621,97.09302326,0.86
3928.70344,96.80232558,0.86
4779.348136,96.7054234,0.86
5507.068411,95.83333038,0.86
6239.70451,94.76744186,0.86
944.0687675,11.72480029,0.86
1661.954693,8.236428194,0.86
2753.534205,6.782939822,0.86
3894.283666,7.26744186,0.86
4784.265761,7.751926156,0.86
5531.652935,8.914716854,0.86
6111.862465,12.40308895,0.86
6692.071095,18.02325581,0.86
7390.288321,27.22867034,0.86
7778.733883,34.88372093,0.86
7306.699499,92.63565596,0.86
7906.575928,44.96123735,0.86
7493.545842,36.43410261,0.9
6967.424786,28.00387005,0.9
6347.879657,21.89921889,0.9
5757.836677,18.31395349,0.9
5059.618551,16.37596308,0.9
4405.654549,16.18215871,0.9
3525.506804,15.89146104,0.9
2615.85781,16.56976744,0.9
1789.797188,18.79843778,0.9
1337.431054,25.09689331,0.9
1027.65849,33.81782354,0.9
993.2391659,47.28681875,0.9
1140.749911,58.81782354,0.9
1332.513879,68.70154447,0.9
1598.03322,78.29456773,0.9
1937.307933,88.37209302,0.9
2650.276684,90.89146991,0.9
3200.983165,90.98837209,0.9
3835.279368,90.21317238,0.9
4528.579869,90.21317238,0.9
5118.622849,90.40697674,0.9
5743.085603,90.60077224,0.9
6269.206659,90.89146991,0.9
6947.756086,88.85658619,0.9
7586.969914,87.5,0.9
7734.480659,79.65116279,0.94
6898.586138,79.55426061,0.94
6224.953436,79.94186047,0.94
5511.985135,79.7480561,0.94
4656.422815,79.84495828,0.94
3904.118016,80.32945145,0.94
3279.656162,80.32945145,0.94
2596.189111,77.22867921,0.94
1986.478332,71.99612107,0.94
1657.037518,61.91860465,0.94
1568.531071,52.90697674,0.94
1509.526773,39.92247471,0.94
1534.111747,31.10465116,0.94
2129.071902,23.8372093,0.94
2846.957377,22.96511628,0.94
3555.008953,22.6744186,0.94
4317.148102,22.77131192,0.94
4971.112104,22.77131192,0.94
5644.744806,23.74029825,0.94
6352.796382,27.22867034,0.94
6790.411892,32.94573052,0.94
7188.690903,39.8255814,0.94
7518.131266,46.89921889,0.94
7808.236032,54.84495828,0.94
5782.421201,35.1744186,0.95
6362.630731,40.31007456,0.95
6834.665115,48.25581395,0.95
6834.665115,58.0426327,0.95
6352.796382,63.08139535,0.95
5570.989433,66.66666075,0.95
4710.510388,68.79844666,0.95
4007.375537,69.18604651,0.95
3338.66046,68.89534884,0.95
2620.774535,67.92635363,0.95
2084.818678,65.11627907,0.95
1858.635386,57.55813953,0.95
2050.399354,46.99612107,0.95
2291.334171,39.53488372,0.95
2669.944483,31.78293982,0.95
3156.729941,26.25968401,0.95
4022.126612,26.93797267,0.95
4705.592763,28.48837209,0.95
5192.378221,31.58913546,0.96
5113.706124,35.75581395,0.96
5536.57056,40.31007456,0.96
5610.325932,50.09689331,0.96
4966.195379,53.87596308,0.96
4135.218483,55.9108468,0.96
3500.92228,56.49224215,0.96
2837.123928,57.46123735,0.96
2399.508418,54.65116279,0.96
2424.093842,47.38372093,0.96
2699.446632,39.72867921,0.96
2999.385747,34.30232558,0.96
3638.598675,30.32945145,0.96
4371.235675,32.17053081,0.96
